date,daily_sales
2016-09-04,272.46
2016-09-05,75.06
2016-09-15,337.32
2016-10-02,109.34
2016-10-03,595.14
2016-10-04,9849.52
2016-10-05,5361.8099999999995
2016-10-06,5988.25
2016-10-07,7219.22
2016-10-08,5682.32
2016-10-09,2409.02
2016-10-10,4085.59
2016-12-23,19.62
2017-01-05,707.27
2017-01-06,338.28
2017-01-07,212.04000000000002
2017-01-08,809.63
2017-01-09,882.63
2017-01-10,426.34000000000003
2017-01-11,1017.43
2017-01-12,2074.39
2017-01-13,999.94
2017-01-14,1507.36
2017-01-15,2707.72
2017-01-16,1801.29
2017-01-17,4200.49
2017-01-18,3649.42
2017-01-19,3217.7
2017-01-20,4216.3
2017-01-21,3030.34
2017-01-22,3591.48
2017-01-23,8068.2699999999995
2017-01-24,4789.06
2017-01-25,7689.98
2017-01-26,11586.45
2017-01-27,10105.28
2017-01-28,2605.12
2017-01-29,7125.44
2017-01-30,6891.24
2017-01-31,11040.34
2017-02-01,6902.66
2017-02-02,10133.28
2017-02-03,7229.41
2017-02-04,7928.76
2017-02-05,9840.98
2017-02-06,9622.81
2017-02-07,12777.2
2017-02-08,12378.85
2017-02-09,9270.34
2017-02-10,8832.7
2017-02-11,5386.08
2017-02-12,6771.11
2017-02-13,9767.85
2017-02-14,8570.55
2017-02-15,6089.16
2017-02-16,7734.9
2017-02-17,7338.81
2017-02-18,6032.39
2017-02-19,4302.66
2017-02-20,8118.68
2017-02-21,5608.28
2017-02-22,7648.0
2017-02-23,7930.34
2017-02-24,6845.38
2017-02-25,4697.41
2017-02-26,6213.01
2017-02-27,4923.31
2017-02-28,7961.02
2017-03-01,15450.81
2017-03-02,8940.289999999999
2017-03-03,8311.79
2017-03-04,8775.58
2017-03-05,9315.59
2017-03-06,11662.93
2017-03-07,10604.82
2017-03-08,9451.39
2017-03-09,13050.66
2017-03-10,10708.62
2017-03-11,7298.43
2017-03-12,7841.58
2017-03-13,12670.539999999999
2017-03-14,12318.78
2017-03-15,13319.86
2017-03-16,16376.14
2017-03-17,9820.56
2017-03-18,8161.85
2017-03-19,8267.84
2017-03-20,15521.710000000001
2017-03-21,11106.34
2017-03-22,13335.68
2017-03-23,13983.08
2017-03-24,8127.87
2017-03-25,8567.2
2017-03-26,8462.52
2017-03-27,14287.79
2017-03-28,13661.09
2017-03-29,8717.96
2017-03-30,7330.87
2017-03-31,7427.93
2017-04-01,6952.13
2017-04-02,9821.08
2017-04-03,10501.18
2017-04-04,13839.06
2017-04-05,9837.8
2017-04-06,10648.28
2017-04-07,9939.43
2017-04-08,7628.5199999999995
2017-04-09,8910.13
2017-04-10,11636.66
2017-04-11,9312.69
2017-04-12,8216.47
2017-04-13,7126.78
2017-04-14,7904.52
2017-04-15,4467.49
2017-04-16,6581.39
2017-04-17,9045.25
2017-04-18,10020.65
2017-04-19,14100.84
2017-04-20,13810.82
2017-04-21,8582.92
2017-04-22,9809.79
2017-04-23,10360.65
2017-04-24,15799.79
2017-04-25,13217.67
2017-04-26,16650.68
2017-04-27,11719.95
2017-04-28,12333.55
2017-04-29,11377.53
2017-04-30,9140.09
2017-05-01,14526.25
2017-05-02,15651.33
2017-05-03,11810.13
2017-05-04,15201.08
2017-05-05,13220.72
2017-05-06,16188.83
2017-05-07,12674.48
2017-05-08,16845.0
2017-05-09,16599.05
2017-05-10,12615.14
2017-05-11,14639.4
2017-05-12,14126.65
2017-05-13,10261.48
2017-05-14,13767.33
2017-05-15,15878.85
2017-05-16,18971.77
2017-05-17,17055.64
2017-05-18,15341.22
2017-05-19,17732.13
2017-05-20,10592.19
2017-05-21,18331.14
2017-05-22,17112.6
2017-05-23,19122.73
2017-05-24,21204.75
2017-05-25,13127.7
2017-05-26,10220.28
2017-05-27,9392.12
2017-05-28,12317.81
2017-05-29,19633.19
2017-05-30,12510.74
2017-05-31,16443.57
2017-06-01,14347.96
2017-06-02,15541.27
2017-06-03,9778.78
2017-06-04,10558.1
2017-06-05,17317.7
2017-06-06,16341.36
2017-06-07,14239.81
2017-06-08,15783.78
2017-06-09,13288.19
2017-06-10,10200.23
2017-06-11,14109.289999999999
2017-06-12,14000.49
2017-06-13,15439.94
2017-06-14,15877.539999999999
2017-06-15,12144.7
2017-06-16,11818.44
2017-06-17,7984.96
2017-06-18,11199.54
2017-06-19,21926.61
2017-06-20,11286.6
2017-06-21,4400.45
2017-06-22,11361.92
2017-06-23,14083.55
2017-06-24,7823.37
2017-06-25,14349.11
2017-06-26,7957.84
2017-06-27,17018.87
2017-06-28,13159.58
2017-06-29,12634.83
2017-06-30,9985.49
2017-07-01,10563.72
2017-07-02,13707.86
2017-07-03,14555.19
2017-07-04,13663.46
2017-07-05,19890.68
2017-07-06,16696.49
2017-07-07,14775.09
2017-07-08,12796.56
2017-07-09,10515.95
2017-07-10,17740.46
2017-07-11,21932.94
2017-07-12,20607.14
2017-07-13,16924.14
