date,daily_sales
2016-09-04,272.46
2016-09-05,75.06
2016-09-15,0.0
2016-10-02,109.34
2016-10-03,595.14
2016-10-04,13456.14
2016-10-05,15753.29
2016-10-06,11312.51
2016-10-07,10381.31
2016-10-08,10505.11
2016-10-09,6895.09
2016-10-10,5345.53
2016-12-23,19.62
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,2294.5099999999998
2017-01-08,809.63
2017-01-09,882.63
2017-01-10,1571.17
2017-01-11,3062.33
2017-01-12,3256.45
2017-01-13,2780.7200000000003
2017-01-14,1507.36
2017-01-15,3725.71
2017-01-16,5294.02
2017-01-17,4828.1900000000005
2017-01-18,4898.54
2017-01-19,5799.98
2017-01-20,8264.44
2017-01-21,6765.7
2017-01-22,4953.25
2017-01-23,10151.1
2017-01-24,9629.76
2017-01-25,12502.53
2017-01-26,20114.88
2017-01-27,15890.0
2017-01-28,5987.98
2017-01-29,9474.34
2017-01-30,26502.760000000002
2017-01-31,16926.49
2017-02-01,10353.03
2017-02-02,11661.79
2017-02-03,12499.26
2017-02-04,17944.1
2017-02-05,12141.24
2017-02-06,11715.94
2017-02-07,22524.37
2017-02-08,15946.41
2017-02-09,12252.9
2017-02-10,17648.34
2017-02-11,6139.62
2017-02-12,17175.41
2017-02-13,15926.109999999999
2017-02-14,18989.52
2017-02-15,8368.76
2017-02-16,8299.36
2017-02-17,11913.93
2017-02-18,12637.960000000001
2017-02-19,4913.28
2017-02-20,10772.58
2017-02-21,11017.15
2017-02-22,11111.64
2017-02-23,14871.58
2017-02-24,9813.95
2017-02-25,6904.75
2017-02-26,7558.6
2017-02-27,8805.61
2017-02-28,16373.8
2017-03-01,19170.85
2017-03-02,14554.93
2017-03-03,15842.289999999999
2017-03-04,17533.4
2017-03-05,11061.23
2017-03-06,14840.65
2017-03-07,19007.09
2017-03-08,21580.17
2017-03-09,19819.1
2017-03-10,17239.98
2017-03-11,15222.7
2017-03-12,8814.78
2017-03-13,20881.76
2017-03-14,22128.65
2017-03-15,20707.1
2017-03-16,24188.43
2017-03-17,16127.26
2017-03-18,19397.72
2017-03-19,8395.68
2017-03-20,23150.93
2017-03-21,15428.66
2017-03-22,20712.02
2017-03-23,26865.26
2017-03-24,13417.71
2017-03-25,15302.84
2017-03-26,8600.82
2017-03-27,20745.97
2017-03-28,17752.420000000002
2017-03-29,12499.55
2017-03-30,14626.82
2017-03-31,14376.5
2017-04-01,19721.87
2017-04-02,18305.97
2017-04-03,14977.140000000001
2017-04-04,17230.36
2017-04-05,21757.17
2017-04-06,41622.71
2017-04-07,16888.56
2017-04-08,11451.72
2017-04-09,11017.89
2017-04-10,14921.98
2017-04-11,11598.91
2017-04-12,9932.82
2017-04-13,12476.96
2017-04-14,10518.56
2017-04-15,9979.54
2017-04-16,7480.74
2017-04-17,11472.04
2017-04-18,26631.78
2017-04-19,17528.19
2017-04-20,20158.29
2017-04-21,12732.67
2017-04-22,18034.59
2017-04-23,12420.74
2017-04-24,30177.64
2017-04-25,20349.01
2017-04-26,22207.64
2017-04-27,16141.25
2017-04-28,21199.05
2017-04-29,17885.88
2017-04-30,10078.83
2017-05-01,17051.17
2017-05-02,23050.22
2017-05-03,13582.18
2017-05-04,20083.36
2017-05-05,18925.19
2017-05-06,22329.64
2017-05-07,21428.22
2017-05-08,25882.82
2017-05-09,38482.48
2017-05-10,33172.2
2017-05-11,25940.22
2017-05-12,18365.6
2017-05-13,12443.32
2017-05-14,20277.89
2017-05-15,28382.05
2017-05-16,31053.07
2017-05-17,24222.07
2017-05-18,27611.75
2017-05-19,32840.03
2017-05-20,14080.06
2017-05-21,23073.01
2017-05-22,32717.85
2017-05-23,24903.84
2017-05-24,30879.14
2017-05-25,22894.39
2017-05-26,15406.0
2017-05-27,22868.5
2017-05-28,12767.72
2017-05-29,25036.41
2017-05-30,24146.19
2017-05-31,27016.18
2017-06-01,23579.44
2017-06-02,22848.420000000002
2017-06-03,18662.010000000002
2017-06-04,16653.14
2017-06-05,31011.65
2017-06-06,21590.85
2017-06-07,17243.4
2017-06-08,31051.04
2017-06-09,21819.94
2017-06-10,10817.02
2017-06-11,20604.8
2017-06-12,28826.89
2017-06-13,18857.27
2017-06-14,28618.45
2017-06-15,18691.39
2017-06-16,16023.41
2017-06-17,14798.33
2017-06-18,21651.87
2017-06-19,30973.98
2017-06-20,23014.09
2017-06-21,7834.780000000001
2017-06-22,11969.3
2017-06-23,17154.84
2017-06-24,11774.18
2017-06-25,23708.29
2017-06-26,18673.8
2017-06-27,22780.75
2017-06-28,22127.44
2017-06-29,16427.88
2017-06-30,15850.65
2017-07-01,18362.2
2017-07-02,16114.6
2017-07-03,23035.67
2017-07-04,19507.94
2017-07-05,28604.22
2017-07-06,30575.63
2017-07-07,20279.88
2017-07-08,12966.1
2017-07-09,11539.75
2017-07-10,27070.01
2017-07-11,30001.68
2017-07-12,26087.65
2017-07-13,23192.39
